Time,ID,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,BetaX,BetaY,BetaZ,AlphaX,AlphaY,AlphaZ,DecisionMargin,Confidence,RScale
1756276796.7057412,0,0.024635058769610658,-0.051457631465024446,-0.6000273082742145,-0.9977090788445667,-0.011199029904632434,0.06671713213502053,-0.026351404480425816,0.9726441348771829,-0.23080075903455313,-0.06230728266451391,-0.2320301028276547,-0.9707109940186899,178.48706064636775,-3.572258245750559,-166.5567694536563,178.48706064636775,-3.572258245750559,-166.5567694536563,94.43635141932222,0.9999999999999996,0.10000000000000142
1756276796.7371078,0,0.02199988986095733,-0.053392171781702136,-0.6138282391414628,-0.9988775151597956,-0.012304845780927217,0.04574167113803783,-0.021822287345069604,0.9766291245446562,-0.2138208148571325,-0.04204161608718224,-0.21457899212515308,-0.9758013930382207,178.7484690740315,-2.4095173241252485,-167.5980317691111,178.7484690740315,-2.4095173241252485,-167.5980317691111,98.56564504069746,0.9999999999999996,0.10000000000000142
1756276796.7697926,0,0.01620802815776165,-0.0549040165731261,-0.611152022946043,-0.9997474258152327,-0.01910034039130221,0.01184320787424329,-0.021176151273179084,0.9770897114294584,-0.2117717319095097,-0.007526964399516236,-0.21196903739847056,-0.9772473954896449,178.78657082805296,-0.43126736495884443,-167.76188007467152,178.78657082805296,-0.43126736495884443,-167.76188007467152,95.0684498796132,0.9999999999999996,0.10000000000000142
1756276796.8017445,0,0.01221546303286202,-0.05371646853531143,-0.6064793774553251,-0.9994764676466104,-0.024191024629508385,-0.021484528108133262,-0.019400161232874944,0.9795209933694566,-0.20040523269778193,0.0258925542346271,-0.19988351076536598,-0.9794774922168039,178.88801004098173,1.483699894719894,-168.46593277779044,178.88801004098173,1.483699894719894,-168.46593277779044,89.24820092570516,0.9999999999999996,0.10000000000000142
1756276796.835254,0,0.006991622743571587,-0.05250535124432457,-0.6057858625744308,-0.9976584005905262,-0.031154089575732336,-0.06088627459337977,-0.019484071002997396,0.9828042279267437,-0.1836197716654387,0.0655597949074229,-0.1820034952192538,-0.9811099026203294,178.88116700347527,3.7589955885706523,-169.4906549386024,178.88116700347527,3.7589955885706523,-169.4906549386024,90.26733315664518,0.9999999999999996,0.10000000000000142
1756276796.8656185,0,0.0010122368707401312,-0.05205710967330876,-0.6059282150153238,-0.9938689578764162,-0.037140438815682394,-0.10413972524558278,-0.018879212947306958,0.9850660733615151,-0.17113855915782625,0.10894067141401854,-0.16812322539347477,-0.9797277740245798,178.91175880204227,6.254253530286198,-170.26276982456025,178.91175880204227,6.254253530286198,-170.26276982456025,93.04106121011321,0.9999999999999996,0.10000000000000142
1756276796.8976586,0,-0.004303349424923762,-0.04713283235049687,-0.590960012078312,-0.9868555525938045,-0.03537666063482163,-0.15768516162627882,-0.014297571429204807,0.9910319295048746,-0.13285817307592354,0.16097110848224844,-0.12885731094576638,-0.9785111627619905,179.16995634410222,9.263267312672248,-172.49805043078726,179.16995634410222,9.263267312672248,-172.49805043078726,90.27883729254151,0.9999999999999996,0.10000000000000142
1756276796.9461896,0,-0.008643837040038752,-0.043757411156156445,-0.5793972759850516,-0.9757009951716541,-0.02955118113676162,-0.2171043429194046,-0.009243528303535762,0.9955325742819595,-0.09396515698936865,0.21891122676908525,-0.08967508704739165,-0.971615280631947,179.45721146285706,12.645092161082415,-174.7268336097655,179.45721146285706,12.645092161082415,-174.7268336097655,90.33470042760376,0.9999999999999996,0.10000000000000142
1756276796.9771018,0,-0.013715054525182895,-0.041100034359775675,-0.5702098319163519,-0.9616543989604689,-0.021759683716149406,-0.273399585084822,-0.0033413798049590337,0.9977032780463462,-0.06765355982189558,0.27424378231963376,-0.0641458115557745,-0.9595184535582799,179.8009199663171,15.916953604963068,-176.17534847644197,179.8009199663171,15.916953604963068,-176.17534847644197,90.3649068515244,0.9999999999999996,0.10000000000000142
1756276797.0088787,0,-0.018891423094789285,-0.03602651223058802,-0.5429745337405161,-0.9435127970689374,-0.010400063935437598,-0.3311728256323108,0.007196241995485393,0.9986282921121432,-0.05186278332606281,0.33125792951760796,-0.05131639955533257,-0.9421437317460564,-179.56300931882285,19.345144480281892,-176.88231150527704,-179.56300931882285,19.345144480281892,-176.88231150527704,79.89780196403753,0.9999999999999996,0.10000000000000142
