Time,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,Yaw,Pitch,Roll
1755173942.6332283,-65.7775448874118,-126.89750061343501,-650.8647390692723,-0.8975446966262903,0.07631254732991447,-0.4342694010381574,0.1916884203533553,0.9544978978731877,-0.22844980292856626,0.39707564400307377,-0.2882883245566579,-0.8713327578278343,-161.69273536989255,-23.395489691399497,167.9444679906166
1755173942.6752455,-67.25025913071981,-127.78500454364234,-652.3255240769522,-0.8992757741378504,0.07197905149376854,-0.4314187040391588,0.19349915027425524,0.9500610161908907,-0.24483084845965247,0.3922514001146599,-0.30364960342537833,-0.8682947411148472,-160.72486051402493,-23.094660816833848,167.85668953478927
1755173942.713391,-68.6603568217775,-128.5169497955374,-652.8517506188862,-0.891157061790062,0.07079152117626554,-0.44813798293745855,0.1836850362305396,0.9594736599909572,-0.21370564627202193,0.4148480428864151,-0.2727615374518694,-0.8680450708345757,-162.55597307565108,-24.509747385980983,168.3533199990177
1755173942.765497,-69.44443936541091,-128.6772561358432,-650.0794093529953,-0.8842143952326684,0.06431756536170241,-0.4626317693903753,0.17559460174214905,0.9635900158059088,-0.20164527586378925,0.4328180207689397,-0.25953329694879373,-0.8633139803527723,-163.26793684490346,-25.646532211862514,168.76786409446925
1755173942.8081863,-70.04724488908631,-129.21353101253072,-648.2251572759509,-0.8850771723057582,0.054347248282788044,-0.46226050628117915,0.1743132789283678,0.9595843980680268,-0.2209358815893507,0.43157071245913353,-0.27612344990694204,-0.8587796926796792,-162.1758430773623,-25.567282867576537,168.8583629488229
1755173942.8545253,-72.77603431707972,-126.88689331970387,-646.3804101834293,-0.8493591521212184,0.05019554920071341,-0.5254231033637213,0.14549636793428877,0.9791652572209836,-0.14165523629324744,0.5073655857720891,-0.19676332455974732,-0.8389662427549397,-166.80093416470012,-30.4885115086085,170.27950284596943
1755173942.9002073,-75.16016331439762,-123.91689498110104,-642.3641493530176,-0.8376772460627172,0.046884649297259606,-0.5441494841392895,0.13296036244270934,0.9838405883546228,-0.11991346348568949,0.5297342479469167,-0.1727990924927078,-0.8303746745811865,-168.2446487205972,-31.987500791518997,170.98096310540765
1755173942.9473443,-77.26409753071842,-120.51718781877267,-635.9888236710924,-0.8244210118844382,0.05143152398310941,-0.563635337345179,0.1362771069534964,0.9846021471124737,-0.10948589873536767,0.5493255367119065,-0.16707306857264795,-0.8187356377206839,-168.46644332837667,-33.32075426657918,170.61386131609888
1755173942.9906712,-79.04455168928865,-118.01350583048229,-630.4760459102739,-0.819196373553642,0.05000829078782007,-0.5713286903429957,0.1356800052441362,0.984810937063558,-0.10834368655786239,0.5572326603255708,-0.16627263482749646,-0.8135386734347723,-168.44886043352292,-33.864632982650484,170.5957163853499
1755173943.038958,-80.79165891133455,-116.64838520227408,-626.7382652103992,-0.8098764104954421,0.04589649332158059,-0.5848022842156144,0.13374133444095054,0.9851247844397798,-0.10790002105853407,0.5711509915818864,-0.16559791962238046,-0.803967582575173,-168.36122602700232,-34.8305269557758,170.62292030997014
